vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=2048,mode=0] exmap:0
space: 180.615 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
109,30638,259.516,3.48047,vmcache,32,1000,tpcc,2048,94.9963,44.5169,261,0,891,1,0
110,30293,248.355,1.16016,vmcache,32,1000,tpcc,2048,94.7588,45.0521,237,58135,297,1,2153.15
111,29803,244.484,4.95703,vmcache,32,1000,tpcc,2048,94.5596,45.5562,216,53552,1269,1,2142.08
112,30590,248.805,5.84766,vmcache,32,1000,tpcc,2048,94.8208,45.8358,243,14944,1497,1,2134.86
113,32103,255.617,0,vmcache,32,1000,tpcc,2048,94.8053,46.2753,248,41127,0,1,2164.58
114,30034,242.613,4.79688,vmcache,32,1000,tpcc,2048,94.5479,46.8058,242,58124,1228,1,2152.74
115,31290,249.254,3.98047,vmcache,32,1000,tpcc,2048,94.9233,47.0326,227,6223,1019,1,2074.33
116,33073,258.785,0,vmcache,32,1000,tpcc,2048,94.8438,47.5103,248,47198,0,1,2145.36
117,31344,244.566,6.57031,vmcache,32,1000,tpcc,2048,94.7745,47.9491,269,42438,1682,1,2121.9
118,32182,244.781,5.55469,vmcache,32,1000,tpcc,2048,94.6174,48.4339,214,50164,1422,1,2181.04
119,31908,244.48,6.97656,vmcache,32,1000,tpcc,2048,94.4454,48.9241,209,51017,1786,1,2125.71
120,33709,262.156,0,vmcache,32,1000,tpcc,2048,94.9153,49.1352,232,2188,0,1,2188
121,32825,245.473,5.07422,vmcache,32,1000,tpcc,2048,94.6976,49.6545,233,56058,1299,1,2156.08
122,31346,237.738,4.77344,vmcache,32,1000,tpcc,2048,94.5428,50.1297,216,49686,1222,1,2160.26
123,34991,260.184,3.69531,vmcache,32,1000,tpcc,2048,94.9953,50.3411,276,2536,946,1,2536
124,33777,248.598,1.14062,vmcache,32,1000,tpcc,2048,94.7753,50.874,241,57682,292,1,2136.37
125,33393,246.84,4.11328,vmcache,32,1000,tpcc,2048,94.5382,51.4073,282,58193,1053,1,2155.3
126,33488,248.617,4.55859,vmcache,32,1000,tpcc,2048,94.8492,51.67,260,12564,1167,1,2094
127,35646,260.223,0,vmcache,32,1000,tpcc,2048,94.8265,52.1257,281,43266,0,1,2163.3
