vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 exmap:0
space: 90.3259 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
250,73556,351.023,370.84,vmcache,32,500,tpcc,64
251,70118,336.48,366.914,vmcache,32,500,tpcc,64
252,71327,344.605,359.082,vmcache,32,500,tpcc,64
253,71929,344.527,367.645,vmcache,32,500,tpcc,64
254,71670,343.426,367.039,vmcache,32,500,tpcc,64
255,70966,338.273,366.367,vmcache,32,500,tpcc,64
256,72488,347.078,368.148,vmcache,32,500,tpcc,64
257,72389,350.895,370.934,vmcache,32,500,tpcc,64
258,73116,349.156,370.711,vmcache,32,500,tpcc,64
259,70200,340.723,367.684,vmcache,32,500,tpcc,64
260,68300,329.418,343.488,vmcache,32,500,tpcc,64
261,70461,339.141,361.199,vmcache,32,500,tpcc,64
262,70273,336.605,358.125,vmcache,32,500,tpcc,64
263,68702,330.867,352.594,vmcache,32,500,tpcc,64
264,70757,337.246,361.297,vmcache,32,500,tpcc,64
265,73189,347.758,373.336,vmcache,32,500,tpcc,64
266,71475,348.496,366.766,vmcache,32,500,tpcc,64
267,71845,343.457,366.164,vmcache,32,500,tpcc,64
268,69746,336.805,360.145,vmcache,32,500,tpcc,64
269,72298,339.41,366.406,vmcache,32,500,tpcc,64
270,70922,340.766,361.672,vmcache,32,500,tpcc,64
271,70016,337.383,357.691,vmcache,32,500,tpcc,64
272,70347,337.367,363.516,vmcache,32,500,tpcc,64
273,72291,351.223,372.754,vmcache,32,500,tpcc,64
274,71585,345.324,365.828,vmcache,32,500,tpcc,64
275,70378,336.398,365.355,vmcache,32,500,tpcc,64
276,70981,344.758,360.41,vmcache,32,500,tpcc,64
277,69803,337.324,359.445,vmcache,32,500,tpcc,64
278,70514,337.652,359.406,vmcache,32,500,tpcc,64
279,67968,329.824,351.773,vmcache,32,500,tpcc,64
280,71062,331.508,358.699,vmcache,32,500,tpcc,64
281,72312,350.328,367,vmcache,32,500,tpcc,64
282,72982,349.98,375.238,vmcache,32,500,tpcc,64
283,70005,340.531,367.359,vmcache,32,500,tpcc,64
284,70774,344.371,358.23,vmcache,32,500,tpcc,64
285,70922,344.887,368.043,vmcache,32,500,tpcc,64
286,69980,339.816,361.246,vmcache,32,500,tpcc,64
287,70472,330.898,358.414,vmcache,32,500,tpcc,64
288,69530,329.875,351.188,vmcache,32,500,tpcc,64
289,69898,341.898,359.383,vmcache,32,500,tpcc,64
290,71316,345.047,374.547,vmcache,32,500,tpcc,64
291,71754,336.227,358.734,vmcache,32,500,tpcc,64
292,68655,337.242,354.777,vmcache,32,500,tpcc,64
293,72577,342.77,364.965,vmcache,32,500,tpcc,64
294,70525,336.879,361.117,vmcache,32,500,tpcc,64
295,69984,332.5,357.062,vmcache,32,500,tpcc,64
296,67493,330.98,351.582,vmcache,32,500,tpcc,64
297,69882,339.137,359.445,vmcache,32,500,tpcc,64
298,73040,344.598,367.145,vmcache,32,500,tpcc,64
299,69637,343.367,366.164,vmcache,32,500,tpcc,64
300,73086,344.598,367.027,vmcache,32,500,tpcc,64
301,71473,345.051,374.66,vmcache,32,500,tpcc,64
302,69906,336.492,352.043,vmcache,32,500,tpcc,64
303,67479,323.277,351.773,vmcache,32,500,tpcc,64
304,67194,328.98,344.781,vmcache,32,500,tpcc,64
305,69433,329.914,357.805,vmcache,32,500,tpcc,64
306,70239,335.766,352.062,vmcache,32,500,tpcc,64
307,67355,333.027,355.293,vmcache,32,500,tpcc,64
308,70001,337.359,364.203,vmcache,32,500,tpcc,64
309,72708,348.242,366.676,vmcache,32,500,tpcc,64
310,71401,341.34,367.293,vmcache,32,500,tpcc,64
311,69600,336.617,350.75,vmcache,32,500,tpcc,64
312,69957,330.371,354.355,vmcache,32,500,tpcc,64
313,70285,344.848,364.465,vmcache,32,500,tpcc,64
314,70076,338.164,359.668,vmcache,32,500,tpcc,64
315,70817,337.52,359.598,vmcache,32,500,tpcc,64
316,69721,338.27,359.043,vmcache,32,500,tpcc,64
317,72474,344.469,366.52,vmcache,32,500,tpcc,64
318,70496,343.512,367.008,vmcache,32,500,tpcc,64
319,70074,337.605,359.336,vmcache,32,500,tpcc,64
320,70355,323.996,350.637,vmcache,32,500,tpcc,64
321,69628,335.469,358.516,vmcache,32,500,tpcc,64
322,67010,335.551,350.855,vmcache,32,500,tpcc,64
323,70340,335.355,359.941,vmcache,32,500,tpcc,64
324,70658,339.598,367.371,vmcache,32,500,tpcc,64
325,73500,350.254,366.648,vmcache,32,500,tpcc,64
326,73148,344.156,367.344,vmcache,32,500,tpcc,64
327,69692,337.676,359.59,vmcache,32,500,tpcc,64
328,69480,336.609,357.793,vmcache,32,500,tpcc,64
329,70584,335.398,359.324,vmcache,32,500,tpcc,64
330,67046,332.457,351.672,vmcache,32,500,tpcc,64
331,69472,330.055,351.789,vmcache,32,500,tpcc,64
332,70483,333.629,359.332,vmcache,32,500,tpcc,64
333,70340,341.531,366.836,vmcache,32,500,tpcc,64
334,69888,344.863,359.328,vmcache,32,500,tpcc,64
335,70031,337.57,359.824,vmcache,32,500,tpcc,64
336,70156,337.91,360.156,vmcache,32,500,tpcc,64
337,71513,339.469,367.445,vmcache,32,500,tpcc,64
338,70186,342.262,358.977,vmcache,32,500,tpcc,64
339,69441,331.676,350.75,vmcache,32,500,tpcc,64
340,70662,339.254,361.262,vmcache,32,500,tpcc,64
341,70171,344.32,367.547,vmcache,32,500,tpcc,64
342,72785,349.215,372.523,vmcache,32,500,tpcc,64
343,69283,339.945,360.73,vmcache,32,500,tpcc,64
344,70116,337.371,359.055,vmcache,32,500,tpcc,64
345,71774,342.965,365.922,vmcache,32,500,tpcc,64
346,67710,332.258,351.637,vmcache,32,500,tpcc,64
347,67659,323.059,350.789,vmcache,32,500,tpcc,64
348,67611,329.355,343.055,vmcache,32,500,tpcc,64
349,68680,330.43,360.285,vmcache,32,500,tpcc,64
350,71703,344.176,359.105,vmcache,32,500,tpcc,64
351,70371,337.355,366.797,vmcache,32,500,tpcc,64
352,70720,344.152,361.195,vmcache,32,500,tpcc,64
353,71748,344.609,373.074,vmcache,32,500,tpcc,64
354,71630,340.5,358.148,vmcache,32,500,tpcc,64
355,66786,333.418,353.301,vmcache,32,500,tpcc,64
356,70514,334.938,355.59,vmcache,32,500,tpcc,64
357,70353,337.688,359.602,vmcache,32,500,tpcc,64
358,70074,336.488,359.863,vmcache,32,500,tpcc,64
359,69880,338.641,366.145,vmcache,32,500,tpcc,64
360,73152,339.629,358.598,vmcache,32,500,tpcc,64
361,69947,341.973,362.992,vmcache,32,500,tpcc,64
362,70301,343.578,362.535,vmcache,32,500,tpcc,64
363,67181,323.445,346.516,vmcache,32,500,tpcc,64
364,69115,330.52,349.238,vmcache,32,500,tpcc,64
365,70314,336.379,358.004,vmcache,32,500,tpcc,64
366,70450,340.016,366.543,vmcache,32,500,tpcc,64
367,70225,338.402,360.469,vmcache,32,500,tpcc,64
368,70825,341.598,365.816,vmcache,32,500,tpcc,64
369,71889,346.66,365.922,vmcache,32,500,tpcc,64
370,72732,349.605,368.02,vmcache,32,500,tpcc,64
371,69553,336.246,359.258,vmcache,32,500,tpcc,64
372,66846,330.324,349.367,vmcache,32,500,tpcc,64
373,69898,338.629,359.324,vmcache,32,500,tpcc,64
374,69392,336.824,358.957,vmcache,32,500,tpcc,64
375,68513,330.773,351.418,vmcache,32,500,tpcc,64
376,69889,336.23,365.898,vmcache,32,500,tpcc,64
377,73087,345.082,366.559,vmcache,32,500,tpcc,64
378,70889,347.059,366.762,vmcache,32,500,tpcc,64
379,69515,339.75,358.793,vmcache,32,500,tpcc,64
380,69636,338.449,359.176,vmcache,32,500,tpcc,64
381,69331,336.488,360.199,vmcache,32,500,tpcc,64
382,71335,344.75,363.461,vmcache,32,500,tpcc,64
383,69648,334.016,357.344,vmcache,32,500,tpcc,64
384,69760,340.84,358.055,vmcache,32,500,tpcc,64
385,71479,347.582,373.41,vmcache,32,500,tpcc,64
386,70167,341.359,365.488,vmcache,32,500,tpcc,64
387,70897,341.906,358.43,vmcache,32,500,tpcc,64
388,69298,335.555,358.41,vmcache,32,500,tpcc,64
389,67605,333.285,350.242,vmcache,32,500,tpcc,64
390,68821,331.16,359.203,vmcache,32,500,tpcc,64
391,67108,327.965,344.562,vmcache,32,500,tpcc,64
392,68423,326.688,351.871,vmcache,32,500,tpcc,64
393,71219,350.301,366.102,vmcache,32,500,tpcc,64
394,71614,345.5,369.105,vmcache,32,500,tpcc,64
395,69123,336.863,358.906,vmcache,32,500,tpcc,64
396,71365,341.844,366.816,vmcache,32,500,tpcc,64
397,69549,339.207,357.516,vmcache,32,500,tpcc,64
398,72382,339.695,367.188,vmcache,32,500,tpcc,64
399,69450,334.988,357.797,vmcache,32,500,tpcc,64
400,67530,336.219,351.691,vmcache,32,500,tpcc,64
401,72212,344.328,366.137,vmcache,32,500,tpcc,64
402,72884,345.043,374.469,vmcache,32,500,tpcc,64
403,66953,338.113,352.984,vmcache,32,500,tpcc,64
404,72223,339.516,364.379,vmcache,32,500,tpcc,64
405,70841,344.613,367.129,vmcache,32,500,tpcc,64
406,67944,337.207,351.887,vmcache,32,500,tpcc,64
407,69781,336.223,359.105,vmcache,32,500,tpcc,64
408,69470,333.727,357.426,vmcache,32,500,tpcc,64
409,69601,341.648,358.816,vmcache,32,500,tpcc,64
410,72459,345.121,372.492,vmcache,32,500,tpcc,64
411,70695,343.625,358.727,vmcache,32,500,tpcc,64
412,70021,339.223,365.68,vmcache,32,500,tpcc,64
413,70457,342.641,358.449,vmcache,32,500,tpcc,64
414,69627,337.648,358.652,vmcache,32,500,tpcc,64
415,68729,324.758,350.695,vmcache,32,500,tpcc,64
416,66828,328.789,351.562,vmcache,32,500,tpcc,64
417,69284,336.746,351.301,vmcache,32,500,tpcc,64
418,70207,335.992,359.422,vmcache,32,500,tpcc,64
419,69662,338.441,357.324,vmcache,32,500,tpcc,64
420,70676,341.859,366.215,vmcache,32,500,tpcc,64
421,72670,348.328,367.703,vmcache,32,500,tpcc,64
